R726,MORRIS PARK
R415,MORRISON AVE
R293,MOSHOLU PARKWAY
R285,MT EDEN AVE
A047,MURRAY ST-B'WAY
H026,MYRTLE AVE
H027,MYRTLE AVE
J009,MYRTLE AVE
N415,MYRTLE-WILLOUGH
N416,MYRTLE-WILLOUGH
N408A,NASSAU AV
B026,NECK ROAD
N562,NEPTUNE AVE
R335,NEREID AVE
R608,NEVINS ST
R609,NEVINS ST
R634,NEW LOTS AVE
H039,NEW LOTS AVE
D005,NEW UTRECHT AVE
D006,NEW UTRECHT AVE
PTH18,NEWARK BM BW
PTH19,NEWARK C
PTH20,NEWARK HM HE
PTH01,NEWARK HW BMEBE
R643,NEWKIRK AVE
R644,NEWKIRK AVE
B019,NEWKIRK AVE
N318,NORTHERN BLVD
N319,NORTHERN BLVD
J023,NORWOOD AVE
N224,NORWOOD-205 ST
N225,NORWOOD-205 ST
R623,NOSTRAND AVE
N116,NOSTRAND AVE
N117,NOSTRAND AVE
X001,NYC & CO - 7 AV
B032,OCEAN PARKWAY
B034,OCEAN PARKWAY
OB01,ORCHARD BEACH
N137,OXFORD-104 ST
C009,PACIFIC ST
R115,PARK PLACE
B009,PARK PLACE
B014,PARKSIDE AVE
N339A,PARSONS BLVD
N339,PARSONS BLVD
PTH08,PATH WTC
PTH21,PATH WTC 2
PTH06,PAVONIA/NEWPORT
R423,PELHAM BAY PARK
R328,PELHAM PARKWAY
R327,PELHAM PARKWAY
R727,PELHAM PARKWAY
R632,PENNSYLVANIA AV
R635,PRESIDENT ST
A041,PRINCE ST-B'WAY
A042,PRINCE ST-B'WAY
C014,PROSPECT AVE
R314,PROSPECT AVE
R315,PROSPECT AVE
C015,PROSPECT AVE
B012,PROSPECT PARK
B013,PROSPECT PARK
N309A,QUEENS PLAZA
N310,QUEENS PLAZA
R509,QUEENSBORO PLZ
N121B,RALPH AVE
A055,RECTOR ST
A054,RECTOR ST
R103,RECTOR ST
R102,RECTOR ST
TRAM1,RIT-MANHATTAN
TRAM2,RIT-ROOSEVELT
R629,ROCKAWAY AVE
N122,ROCKAWAY AVE
N123B,ROCKAWAY AVE
N134,ROCKAWAY BLVD
N135,ROCKAWAY BLVD
N187,ROCKAWAY PK 116
H041,ROCKAWAY PKY
N324,ROOSEVELT AVE
N323,ROOSEVELT AVE
N602,ROOSEVELT IS
R628,SARATOGA AVE
K022,SENECA AVE
B027,SHEEPSHEAD BAY
B028,SHEEPSHEAD BAY
N127,SHEPHERD AVE
R318,SIMPSON ST
R317,SIMPSON ST
N536,SMITH-9 ST
R101S,SOUTH FERRY
N086,SPRING ST
N087,SPRING ST
R215,SPRING ST
R216,SPRING ST
R416,ST LAWRENCE AVE
S101,ST. GEORGE
S101A,ST. GEORGE
Booth,Station
N315,STEINWAY ST
N314,STEINWAY ST
R636,STERLING ST
G001,STILLWELL AVE
G009,STILLWELL AVE
N605,SUTPHIN BLVD
N338B,SUTPHIN BLVD
N338,SUTPHIN BLVD
R627,SUTTER AVE
H037,SUTTER AVE
PTH13,THIRTY ST
PTH17,THIRTY THIRD ST
S102,TOMPKINSVILLE
N213,TREMONT AVE
N214,TREMONT AVE
PTH12,TWENTY THIRD ST
C010,UNION ST
C011,UNION ST
N336,UNION TPK-KEW G
N335,UNION TPK-KEW G
N120,UTICA AVE
N120A,UTICA AVE
N401,VAN ALSTON-21ST
R633,VAN SICLEN AVE
J021,VAN SICLEN AVE
N126,VAN SICLEN AVE
N337,VAN WYCK BLVD
R504,VERNON/JACKSON
R503,VERNON/JACKSON
R506,VERNON/JACKSON
N080,W 4 ST-WASH SQ
N083,W 4 ST-WASH SQ
G011,W 8 ST-AQUARIUM
G015,W 8 ST-AQUARIUM
R336,WAKEFIELD-241
R111,WALL ST
R110,WALL ST
R112,WALL ST
R112A,WALL ST
R203,WALL ST
R203A,WALL ST
R204,WALL ST
R204A,WALL ST
R511,WASHINGTON-36 A
WCCTR,WEST COUNTY CTR
R420,WESTCHESTER SQ
A060,WHITEHALL ST
A058,WHITEHALL ST
R413,WHITLOCK AVE
H032,WILSON AVE
R637,WINTHROP ST
J031,WOODHAVEN BLVD
J032,WOODHAVEN BLVD
N329,WOODHAVEN BLVD
N329A,WOODHAVEN BLVD
R294,WOODLAWN ROAD
N094,WORLD TRADE CTR
N530,YORK ST
R419,ZEREGA AVE
